player,age,current_club,current_league,foot,height,nationality,position,games12,games13,games14,games15,games16,games17,goals12,goals13,goals14,goals15,goals16,goals17,minutes12,minutes13,minutes14,minutes15,minutes16,minutes17,assists12,assists13,assists14,assists15,assists16,assists17
Shoya Nakajima,23,Portimonense SC,PRT - Liga NOS,right,164,Japan,W,23,35,20,25,29,25,2,2,2,6,6,9,884,2779,941,1798,1728,2081,1,2,1,4,7,6
Wilson Manafá,23,Portimonense SC,PRT - Liga NOS,right,177,Portugal  Guinea-Bissau,W,,13,19,21,39,18,,1,1,1,3,0,,395,1524,1759,1958,619,,0,3,1,3,3
Wellington Carvalho,25,Portimonense SC,PRT - Liga NOS,both,182,Brazil,W,,,,1,43,25,,,,0,8,2,,,,120,3498,1281,,,,0,3,5
Tabata,20,Portimonense SC,PRT - Liga NOS,left,178,Brazil,W,,,,,33,15,,,,,2,2,,,,,1809,964,,,,,2,4
Fabrício,27,Portimonense SC,PRT - Liga NOS,right,183,Brazil,CF,11,24,40,66,14,27,2,4,5,18,4,13,977,1407,3299,4690,1077,2265,0,0,1,5,1,6
Rui Costa,22,Portimonense SC,PRT - Liga NOS,right,179,Portugal,CF,,,,,45,19,,,,,14,12,,,,,3392,1250,,,,,2,3
Pires,36,Portimonense SC,PRT - Liga NOS,right,179,Portugal,CF,41,45,25,52,43,18,11,26,4,14,23,3,3007,3388,1484,4177,3666,810,0,0,2,5,5,2
Yannick Djaló,31,Vitória Setúbal FC,PRT - Liga NOS,right,171,Portugal  Guinea-Bissau,W,20,18,10,34,,,1,3,1,16,,,1033,1134,771,2378,,,0,1,0,7,,
André Pereira,22,Vitória Setúbal FC,PRT - Liga NOS,left,188,Portugal,CF,,,0,,13,25,,,0,,4,10,,,0,,815,1704,,,0,,1,5
Edinho,35,Vitória Setúbal FC,PRT - Liga NOS,right,182,Portugal  Guinea-Bissau,CF,40,29,27,33,32,29,18,13,10,13,9,5,2640,1957,1439,2106,2070,1271,2,2,0,3,0,3
Allef,23,Vitória Setúbal FC,PRT - Liga NOS,right,,Brazil,CF,,,,,,6,,,,,,1,,,,,,69,,,,,,0
Nathan,21,CF Belenenses,PRT - Liga NOS,right,177,Brazil,W,,13,,31,32,7,,0,,8,5,1,,400,,1553,1774,262,,1,,3,3,0
Diogo Viana,28,CF Belenenses,PRT - Liga NOS,right,174,Portugal,W,32,31,37,11,24,25,4,4,1,2,5,0,2588,2275,2547,419,1546,2005,1,4,7,1,1,1
Licá,29,CF Belenenses,PRT - Liga NOS,right,181,Portugal,W,35,36,23,33,22,8,6,4,0,6,1,0,3054,1630,1463,2156,1376,481,3,5,3,4,2,1
Benny,21,CF Belenenses,PRT - Liga NOS,right,,Portugal,W,,,,,8,20,,,,,0,2,,,,,258,888,,,,,0,1
Maurides,24,CF Belenenses,PRT - Liga NOS,left,189,Brazil,CF,0,1,,42,12,28,0,0,,6,6,4,0,10,,2279,930,2013,0,0,,3,3,3
Yazalde,29,CF Belenenses,PRT - Liga NOS,right,183,Guinea-Bissau  Portugal,CF,31,34,29,35,19,7,3,8,1,3,1,1,2518,2181,1520,1974,900,245,1,2,0,5,0,0
Tiago Caeiro,33,CF Belenenses,PRT - Liga NOS,right,192,Portugal,CF,29,20,22,38,20,19,12,2,4,9,4,1,1573,862,601,1599,474,639,1,0,1,3,0,0
Kuca,28,Boavista Porto FC,PRT - Liga NOS,right,181,Cape Verde,W,,38,27,34,28,26,,12,7,4,8,2,,3281,2085,2557,1359,1502,,0,3,1,1,0
Mateus,33,Boavista Porto FC,PRT - Liga NOS,right,176,Angola  Portugal,W,27,11,,17,37,24,8,2,,5,3,6,1771,590,,1286,2639,1402,2,0,,1,7,1
Renato Santos,26,Boavista Porto FC,PRT - Liga NOS,right,175,Portugal,W,26,12,23,29,34,18,2,0,3,4,4,3,1588,429,1339,1672,2683,1351,0,0,5,6,2,1
Ricardo Clarke,25,Boavista Porto FC,PRT - Liga NOS,right,180,Panama,W,2,7,7,36,19,5,0,0,0,8,7,0,1,528,253,2904,1265,45,0,0,0,13,0,0
Rui Pedro,19,Boavista Porto FC,PRT - Liga NOS,right,182,Portugal,CF,,,6,5,35,17,,,1,1,14,1,,,292,281,1914,552,,,0,0,2,1
Leonardo Ruiz,21,Boavista Porto FC,PRT - Liga NOS,right,185,Colombia,CF,,,6,25,35,16,,,5,9,12,0,,,474,1332,2307,772,,,0,1,4,1
Iván Bulos,24,Boavista Porto FC,PRT - Liga NOS,left,188,Peru,CF,7,,23,3,20,6,0,,9,0,2,0,345,,1752,195,1431,406,0,,1,0,0,1
Yusupha Njie,24,Boavista Porto FC,PRT - Liga NOS,both,188,The Gambia,CF,,8,17,3,13,10,,0,1,0,0,3,,417,1060,206,758,657,,0,0,0,0,0
Idé Colubali,24,Boavista Porto FC,PRT - Liga NOS,right,204,Guinea-Bissau,CF,,,,,17,,,,,,2,,,,,,402,,,,,,0,
Hêndrio,23,FC Paços de Ferreira,PRT - Liga NOS,left,181,Brazil,W,,,,,,6,,,,,,0,,,,,,141,,,,,,1
Awer Mabil,22,FC Paços de Ferreira,PRT - Liga NOS,right,179,Australia  Southern Sudan,W,5,21,21,10,32,23,0,2,6,0,6,2,160,718,927,232,2159,1213,0,2,2,0,6,3
Bruno Moreira,30,FC Paços de Ferreira,PRT - Liga NOS,right,185,Portugal,CF,13,20,31,47,,27,1,1,14,23,,4,663,825,2330,3709,,1323,0,1,1,5,,4
Luiz Phellype,24,FC Paços de Ferreira,PRT - Liga NOS,right,188,Brazil,CF,3,31,35,14,13,21,0,7,16,1,3,8,23,2198,2509,450,567,865,0,0,2,0,0,0
Rabiola,28,FC Paços de Ferreira,PRT - Liga NOS,right,182,Portugal,CF,39,16,30,25,,,22,0,8,2,,,3038,629,1848,1038,,,0,1,4,2,,
Arsénio,28,Moreirense FC,PRT - Liga NOS,right,180,Portugal,W,45,24,37,25,28,27,6,3,5,5,4,5,2609,1333,2775,2072,1934,1922,1,1,5,8,6,1
Bilel Aouacheria,23,Moreirense FC,PRT - Liga NOS,right,182,France  Algeria,W,,,45,22,38,26,,,11,1,5,3,,,2525,1281,2439,1629,,,3,1,4,2
Ousmane Dramé,25,Moreirense FC,PRT - Liga NOS,right,174,France  Mali,W,11,19,34,13,29,6,0,6,5,1,2,0,328,1483,2147,822,1841,103,1,0,2,0,0,0
Zizo,22,Moreirense FC,PRT - Liga NOS,right,174,Egypt,W,,5,35,19,31,27,,0,2,2,3,2,,291,2589,1217,2254,1753,,0,3,2,5,1
Edno,34,Moreirense FC,PRT - Liga NOS,left,183,Brazil,CF,46,31,20,,9,8,8,11,7,,2,1,2907,2184,1541,,261,582,5,1,2,,0,2
Ronaldo Peña,21,Moreirense FC,PRT - Liga NOS,right,184,Venezuela,CF,,,,,,22,,,,,,2,,,,,,1273,,,,,,2
Murilo,21,CD Tondela,PRT - Liga NOS,left,176,Brazil,W,,,,,21,25,,,,,1,8,,,,,670,1766,,,,,2,3
Tyler Boyd,23,CD Tondela,PRT - Liga NOS,right,180,New Zealand  United States,W,23,20,10,41,34,21,0,2,12,5,8,3,812,774,602,2359,2619,904,1,3,1,1,5,2
Juan Delgado,25,CD Tondela,PRT - Liga NOS,right,177,Chile,W,0,,36,21,27,20,0,,8,3,4,2,0,,2195,892,1766,1284,0,,5,3,1,1
Miguel Cardoso,23,CD Tondela,PRT - Liga NOS,both,176,Portugal,W,,,,17,32,24,,,,0,1,4,,,,474,2262,1933,,,,2,4,3
Harramiz,27,CD Tondela,PRT - Liga NOS,right,180,Sao Tome and Principe  Portugal,W,,18,33,41,47,21,,3,8,5,11,1,,761,2241,3345,3725,1068,,0,3,2,2,1
Tomané,25,CD Tondela,PRT - Liga NOS,right,186,Portugal,CF,32,29,35,29,30,25,3,6,4,2,4,6,2446,1716,2700,1836,2373,2087,0,4,11,3,4,7
Heliardo,26,CD Tondela,PRT - Liga NOS,right,190,Brazil,CF,6,,,9,16,18,0,,,1,2,2,282,,,539,1012,630,1,,,1,1,3
Luís Machado,25,CD Feirense,PRT - Liga NOS,right,168,Portugal,W,20,1,32,13,32,24,0,0,3,1,2,1,590,90,1884,709,2154,1120,0,0,0,0,7,1
Edson Farias,26,CD Feirense,PRT - Liga NOS,both,170,Brazil,W,22,10,31,28,11,22,1,0,6,0,1,1,1201,328,1193,1327,649,1684,3,1,2,1,0,2
Hugo Seco,29,CD Feirense,PRT - Liga NOS,right,176,Portugal,W,,1,20,30,23,25,,0,0,1,2,1,,89,1094,1395,1603,1437,,1,3,2,3,3
Zé Manuel,27,CD Feirense,PRT - Liga NOS,right,181,Portugal,W,9,,32,33,33,9,0,,6,6,3,0,283,,2479,1913,1724,372,0,,3,2,3,0
Anastasios Karamanos,27,CD Feirense,PRT - Liga NOS,right,185,Greece,CF,25,40,30,36,36,16,4,9,3,6,7,1,1404,2542,2087,2355,2647,695,1,3,4,2,2,1
João Silva,27,CD Feirense,PRT - Liga NOS,right,187,Portugal,CF,31,47,3,23,20,25,8,8,0,2,0,4,1291,3263,185,1005,496,1907,3,5,0,2,0,0
José Valencia,26,CD Feirense,PRT - Liga NOS,right,186,Colombia,CF,26,19,23,,2,15,1,7,5,,0,2,879,857,1009,,117,483,3,0,2,,0,0
Amilton,28,Desportivo Aves,PRT - Liga NOS,right,172,Brazil,W,,1,2,33,37,28,,0,0,5,6,6,,90,188,2680,3006,2218,,0,0,7,9,6
Nildo Petrolina,31,Desportivo Aves,PRT - Liga NOS,left,175,Brazil,W,36,25,16,23,35,21,4,4,2,1,2,2,3105,1431,1185,1493,2056,1738,5,5,1,2,5,2
Sami,29,Desportivo Aves,PRT - Liga NOS,right,184,Guinea-Bissau  Portugal,W,42,26,26,32,12,8,6,1,3,4,2,0,3256,1880,1153,2082,570,456,2,2,3,3,0,0
Hamdou Elhouni,24,Desportivo Aves,PRT - Liga NOS,right,175,Libya,W,,,,13,15,19,,,,3,1,1,,,,954,663,748,,,,0,1,0
Derley,30,Desportivo Aves,PRT - Liga NOS,right,183,Brazil,CF,,34,27,23,18,21,,19,1,5,3,3,,3027,1034,1580,948,1366,,7,7,2,0,4
Cristian Arango,23,Desportivo Aves,PRT - Liga NOS,right,178,Colombia,CF,2,6,19,27,1,19,1,0,2,9,0,3,115,419,1421,1400,5,885,0,0,3,0,0,2
Alexandre Guedes,24,Desportivo Aves,PRT - Liga NOS,right,185,Portugal,CF,1,17,13,39,39,14,0,0,0,14,13,2,0,706,366,2941,2747,857,0,0,0,5,6,1
Federico Falcone,28,Desportivo Aves,PRT - Liga NOS,right,185,Argentina,CF,23,1,,31,17,9,5,0,,16,9,1,1339,68,,2518,1433,301,3,0,,5,2,0
